order_id,customer_id,product,amount,order_date
1001,1,Laptop,1299.99,2023-02-01
1002,1,Mouse,24.50,2023-02-15
1003,2,Keyboard,79.00,2023-02-20
1004,3,Monitor,349.99,2023-03-05
1005,3,Headphones,129.00,2023-03-18
1006,4,Laptop,1499.00,2023-03-25
1007,5,Webcam,69.99,2023-04-02
1008,6,Mouse,19.99,2023-04-20
1009,6,Keyboard,99.50,2023-05-01
1010,7,Monitor,279.00,2023-05-10
1011,8,Laptop,1199.00,2023-05-25
1012,8,Headphones,149.00,2023-06-03
1013,9,Webcam,59.00,2023-06-15
1014,10,Mouse,22.00,2023-06-28
1015,10,Keyboard,85.00,2023-07-04
